geolocation-shield-survey
id;correct;algProb;sample;high;low;effectiveness;best
0;Norway;0.1251576;11-624,11-347,11-50,11-323,11-423,11-233,11-270,11-108,11-614,11-363,11-335,11-120,11-247,11-372,11-455,11-83;15,5,13,6;3,0,4,11;ABC:-0.0289,ABD:0.048,ABE:-0.0288,ABF:-0.0289,ABG:-0.0287,ABH:0.048,ACD:0.048,ACE:-0.0288,ACF:-0.0289,ACG:-0.0287,ACH:0.048,ADE:0.048,ADF:0.048,ADG:0.0482,ADH:0.1249,AEF:-0.0288,AEG:-0.0287,AEH:0.0481,AFG:-0.0287,AFH:0.048,AGH:0.0482,BCD:0.048,BCE:-0.0288,BCF:-0.0289,BCG:-0.0287,BCH:0.048,BDE:0.048,BDF:0.048,BDG:0.0482,BDH:0.1249,BEF:-0.0288,BEG:-0.0287,BEH:0.0481,BFG:-0.0287,BFH:0.048,BGH:0.0482,CDE:0.048,CDF:0.048,CDG:0.0482,CDH:0.1249,CEF:-0.0288,CEG:-0.0287,CEH:0.0481,CFG:-0.0287,CFH:0.048,CGH:0.0482,DEF:0.048,DEG:0.0482,DEH:0.125,DFG:0.0482,DFH:0.1249,DGH:0.1251,EFG:-0.0287,EFH:0.0481,EGH:0.0483,FGH:0.0482;DGH:0.1251
1;Norway;0.12039919;11-440,11-208,11-556,11-581,11-207,11-383,11-659,11-639,11-663,11-661,11-323,11-518,11-347,11-419,11-334,11-541;1,2,14,5;12,10,3,7;ABC:0.1204,ABD:0.1204,ABE:0.1204,ABF:0.1204,ABG:0.1204,ABH:0.1204,ACD:0.0491,ACE:0.0491,ACF:0.0491,ACG:0.0491,ACH:0.0492,ADE:0.0491,ADF:0.0491,ADG:0.0491,ADH:0.0492,AEF:0.0491,AEG:0.0491,AEH:0.0492,AFG:0.0491,AFH:0.0492,AGH:0.0492,BCD:0.0434,BCE:0.0434,BCF:0.0434,BCG:0.0434,BCH:0.0435,BDE:0.0434,BDF:0.0434,BDG:0.0434,BDH:0.0435,BEF:0.0434,BEG:0.0434,BEH:0.0435,BFG:0.0434,BFH:0.0435,BGH:0.0435,CDE:-0.0278,CDF:-0.0278,CDG:-0.0278,CDH:-0.0277,CEF:-0.0278,CEG:-0.0278,CEH:-0.0277,CFG:-0.0278,CFH:-0.0277,CGH:-0.0277,DEF:-0.0278,DEG:-0.0278,DEH:-0.0277,DFG:-0.0278,DFH:-0.0277,DGH:-0.0277,EFG:-0.0278,EFH:-0.0277,EGH:-0.0277,FGH:-0.0277;ABH:0.1204
2;Norway;0.11291462;11-334,11-530,11-665,11-33,11-72,11-241,11-661,11-479,11-371,11-204,11-643,11-255,11-608,11-390,11-365,11-270;3,1,0,15;2,9,5,13;ABC:0.0369,ABD:0.1129,ABE:0.0369,ABF:0.0369,ABG:0.0369,ABH:0.0369,ACD:0.05,ACE:-0.026,ACF:-0.026,ACG:-0.026,ACH:-0.026,ADE:0.05,ADF:0.05,ADG:0.05,ADH:0.05,AEF:-0.026,AEG:-0.026,AEH:-0.026,AFG:-0.026,AFH:-0.026,AGH:-0.026,BCD:0.1128,BCE:0.0368,BCF:0.0368,BCG:0.0368,BCH:0.0369,BDE:0.1128,BDF:0.1128,BDG:0.1128,BDH:0.1129,BEF:0.0368,BEG:0.0368,BEH:0.0369,BFG:0.0368,BFH:0.0369,BGH:0.0369,CDE:0.0499,CDF:0.0499,CDG:0.0499,CDH:0.05,CEF:-0.0261,CEG:-0.0261,CEH:-0.026,CFG:-0.0261,CFH:-0.026,CGH:-0.026,DEF:0.0499,DEG:0.0499,DEH:0.05,DFG:0.0499,DFH:0.05,DGH:0.05,EFG:-0.0261,EFH:-0.026,EGH:-0.026,FGH:-0.026;ABD:0.1129
3;Norway;0.11364573;11-530,11-357,11-573,11-216,11-334,11-363,11-386,11-596,11-165,11-347,11-150,11-50,11-162,11-143,11-581,11-160;3,0,4,12;9,11,10,14;ABC:0.1136,ABD:0.1136,ABE:0.1136,ABF:0.1136,ABG:0.1136,ABH:0.1136,ACD:0.0367,ACE:0.0367,ACF:0.0367,ACG:0.0367,ACH:0.0367,ADE:0.0367,ADF:0.0367,ADG:0.0367,ADH:0.0367,AEF:0.0367,AEG:0.0367,AEH:0.0367,AFG:0.0367,AFH:0.0367,AGH:0.0367,BCD:0.0507,BCE:0.0507,BCF:0.0507,BCG:0.0507,BCH:0.0507,BDE:0.0507,BDF:0.0507,BDG:0.0507,BDH:0.0507,BEF:0.0507,BEG:0.0507,BEH:0.0507,BFG:0.0507,BFH:0.0507,BGH:0.0507,CDE:-0.0262,CDF:-0.0262,CDG:-0.0262,CDH:-0.0262,CEF:-0.0262,CEG:-0.0262,CEH:-0.0262,CFG:-0.0262,CFH:-0.0262,CGH:-0.0262,DEF:-0.0262,DEG:-0.0262,DEH:-0.0262,DFG:-0.0262,DFH:-0.0262,DGH:-0.0262,EFG:-0.0262,EFH:-0.0262,EGH:-0.0262,FGH:-0.0262;ABC:0.1136
4;Germany;0.15450233;75-438,31-537,75-648,19-574,19-100,31-318,25-425,31-366,26-525,75-292,19-63,75-239,75-305,19-154,25-285,25-235;10,4,5,11;2,7,6,12;ABC:0.0476,ABD:0.0246,ABE:0.0246,ABF:0.0999,ABG:0.0405,ABH:0.0246,ACD:-0.0126,ACE:-0.0126,ACF:0.0627,ACG:0.0034,ACH:-0.0126,ADE:-0.0356,ADF:0.0397,ADG:-0.0197,ADH:-0.0356,AEF:0.0397,AEG:-0.0197,AEH:-0.0356,AFG:0.0556,AFH:0.0397,AGH:-0.0197,BCD:0.0476,BCE:0.0476,BCF:0.1229,BCG:0.0636,BCH:0.0476,BDE:0.0246,BDF:0.0999,BDG:0.0405,BDH:0.0246,BEF:0.0999,BEG:0.0405,BEH:0.0246,BFG:0.1158,BFH:0.0999,BGH:0.0405,CDE:-0.0126,CDF:0.0627,CDG:0.0034,CDH:-0.0126,CEF:0.0627,CEG:0.0034,CEH:-0.0126,CFG:0.0787,CFH:0.0627,CGH:0.0034,DEF:0.0396,DEG:-0.0197,DEH:-0.0356,DFG:0.0556,DFH:0.0396,DGH:-0.0197,EFG:0.0556,EFH:0.0396,EGH:-0.0197,FGH:0.0556;BCF:0.1229
5;Germany;0.3337962;31-625,26-413,26-572,31-310,19-232,25-181,28-636,20-49,28-91,75-386,19-562,19-527,25-376,28-450,75-403,19-159;3,14,5,13;6,8,1,9;ABC:0.0739,ABD:-1e-04,ABE:-1e-04,ABF:-1e-04,ABG:0.0618,ABH:0.0765,ACD:-0.003,ACE:-0.0031,ACF:-0.0031,ACG:0.0589,ACH:0.0736,ADE:-0.077,ADF:-0.077,ADG:-0.0151,ADH:-0.0004,AEF:-0.0771,AEG:-0.0151,AEH:-0.0004,AFG:-0.0151,AFH:-0.0004,AGH:0.0616,BCD:0.0739,BCE:0.0739,BCF:0.0739,BCG:0.1358,BCH:0.1505,BDE:-1e-04,BDF:-1e-04,BDG:0.0618,BDH:0.0766,BEF:-1e-04,BEG:0.0618,BEH:0.0765,BFG:0.0618,BFH:0.0765,BGH:0.1385,CDE:-0.003,CDF:-0.003,CDG:0.0589,CDH:0.0736,CEF:-0.0031,CEG:0.0589,CEH:0.0736,CFG:0.0589,CFH:0.0736,CGH:0.1356,DEF:-0.077,DEG:-0.0151,DEH:-0.0004,DFG:-0.0151,DFH:-0.0004,DGH:0.0616,EFG:-0.0151,EFH:-0.0004,EGH:0.0616,FGH:0.0616;BCH:0.1505
6;Germany;0.15320542;25-595,19-662,25-578,20-598,26-537,31-537,26-308,20-585,31-294,25-573,19-516,25-233,26-629,26-518,25-196,28-550;3,12,11,2;13,9,8,1;ABC:0.0613,ABD:-0.0156,ABE:-0.0156,ABF:0.0197,ABG:0.0277,ABH:-0.0156,ACD:0.0415,ACE:0.0415,ACF:0.0767,ACG:0.0848,ACH:0.0415,ADE:-0.0354,ADF:-1e-04,ADG:0.0079,ADH:-0.0354,AEF:-1e-04,AEG:0.0079,AEH:-0.0354,AFG:0.0432,AFH:-1e-04,AGH:0.0079,BCD:0.0613,BCE:0.0613,BCF:0.0965,BCG:0.1046,BCH:0.0613,BDE:-0.0156,BDF:0.0197,BDG:0.0277,BDH:-0.0156,BEF:0.0197,BEG:0.0277,BEH:-0.0156,BFG:0.063,BFH:0.0197,BGH:0.0277,CDE:0.0415,CDF:0.0767,CDG:0.0848,CDH:0.0415,CEF:0.0767,CEG:0.0848,CEH:0.0415,CFG:0.12,CFH:0.0767,CGH:0.0848,DEF:-1e-04,DEG:0.0079,DEH:-0.0354,DFG:0.0432,DFH:-1e-04,DGH:0.0079,EFG:0.0432,EFH:-1e-04,EGH:0.0079,FGH:0.0432;CFG:0.12
7;Germany;0.25031918;75-398,25-588,20-214,26-395,26-358,19-55,19-168,75-663,31-53,25-27,25-257,20-19,75-6,20-470,31-543,75-112;13,11,1,7;9,10,0,4;ABC:0.0182,ABD:0.0801,ABE:0.0182,ABF:0.0182,ABG:0.0943,ABH:0.0951,ACD:0.0042,ACE:-0.0578,ACF:-0.0578,ACG:0.0183,ACH:0.0192,ADE:0.0042,ADF:0.0042,ADG:0.0803,ADH:0.0811,AEF:-0.0578,AEG:0.0183,AEH:0.0192,AFG:0.0183,AFH:0.0192,AGH:0.0952,BCD:0.0801,BCE:0.0182,BCF:0.0182,BCG:0.0942,BCH:0.0951,BDE:0.0802,BDF:0.0802,BDG:0.1562,BDH:0.1571,BEF:0.0182,BEG:0.0943,BEH:0.0951,BFG:0.0943,BFH:0.0951,BGH:0.1712,CDE:0.0042,CDF:0.0042,CDG:0.0803,CDH:0.0811,CEF:-0.0578,CEG:0.0183,CEH:0.0192,CFG:0.0183,CFH:0.0192,CGH:0.0952,DEF:0.0042,DEG:0.0803,DEH:0.0811,DFG:0.0803,DFH:0.0811,DGH:0.1572,EFG:0.0183,EFH:0.0192,EGH:0.0952,FGH:0.0952;BGH:0.1712
8;Germany;0.16715829;25-167,25-173,31-249,75-476,28-413,75-645,25-634,19-491,75-663,31-255,31-329,26-610,75-198,26-116,31-404,75-215;15,8,12,10;6,7,2,5;ABC:-0.0385,ABD:-0.0385,ABE:0.0234,ABF:-0.0205,ABG:0.0135,ABH:0.0303,ACD:-0.0385,ACE:0.0235,ACF:-0.0204,ACG:0.0135,ACH:0.0303,ADE:0.0235,ADF:-0.0204,ADG:0.0135,ADH:0.0303,AEF:0.0415,AEG:0.0755,AEH:0.0922,AFG:0.0316,AFH:0.0484,AGH:0.0823,BCD:-0.0385,BCE:0.0235,BCF:-0.0204,BCG:0.0135,BCH:0.0303,BDE:0.0234,BDF:-0.0204,BDG:0.0135,BDH:0.0303,BEF:0.0415,BEG:0.0755,BEH:0.0922,BFG:0.0316,BFH:0.0484,BGH:0.0823,CDE:0.0235,CDF:-0.0204,CDG:0.0136,CDH:0.0303,CEF:0.0416,CEG:0.0755,CEH:0.0923,CFG:0.0316,CFH:0.0484,CGH:0.0824,DEF:0.0416,DEG:0.0755,DEH:0.0923,DFG:0.0316,DFH:0.0484,DGH:0.0823,EFG:0.0936,EFH:0.1104,EGH:0.1443,FGH:0.1004;EGH:0.1443
9;Germany;0.12652327;19-118,31-79,20-228,19-166,75-435,75-269,19-250,26-223,20-415,19-529,20-285,25-509,19-203,19-309,75-6,25-94;8,10,11,0;3,15,2,5;ABC:-0.0249,ABD:-0.025,ABE:0.0519,ABF:0.036,ABG:-0.02,ABH:-0.025,ACD:-0.0249,ACE:0.052,ACF:0.0361,ACG:-0.0199,ACH:-0.0249,ADE:0.0519,ADF:0.036,ADG:-0.02,ADH:-0.025,AEF:0.1129,AEG:0.0569,AEH:0.0519,AFG:0.041,AFH:0.036,AGH:-0.02,BCD:-0.0291,BCE:0.0478,BCF:0.0319,BCG:-0.0241,BCH:-0.0291,BDE:0.0477,BDF:0.0318,BDG:-0.0242,BDH:-0.0292,BEF:0.1087,BEG:0.0527,BEH:0.0477,BFG:0.0368,BFH:0.0318,BGH:-0.0242,CDE:0.0478,CDF:0.0319,CDG:-0.0241,CDH:-0.0291,CEF:0.1088,CEG:0.0528,CEH:0.0478,CFG:0.0369,CFH:0.0319,CGH:-0.0241,DEF:0.1087,DEG:0.0527,DEH:0.0477,DFG:0.0368,DFH:0.0318,DGH:-0.0242,EFG:0.1137,EFH:0.1087,EGH:0.0527,FGH:0.0368;EFG:0.1137
